index_num,title,location,company,summary,salary,url
308,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvc5UMknxZOfcc5gxPxjLDfdRQ751OPF_qBPRGDdm8dtsILcrwnzrowIdMg6FSEQjVAcbEDfvYNoon3XDb0PDQgX8xQ7ZPabl76K9fUwpxXFiNdDJxYZN_hDNgCTG1PWT3QyxArFaUvHDnP7vU5XtN1bp_xGO-cfS0dyRifG8ri-3IhkJy-RLygmk1kWG6ctcd09D_-lCg5nXYCW_XxNWd2D00OhFiY_mPazM8DAva-OW--HL-u9vyTgYqvxJ5SrnkifCaf_d6ipR8f5ylqXuQfk5pyYg8rO5SzcaU7mnBBmKd0_5ejyBl2cH4CqBfLVrigQoVmkmnYjCznJJKXI1Z_zLF8ctjUjvY3WzT4-gxDLsS8KcpGpkK7wlzpWz5aQbH9zVwNFfohsbihszRh3Yr4H6W4gZHPjCSCQ-Qce3-HImn8fHhqoOo675-nqaGdiczcacBRXe4N8sx-tGFQdxWDXEs3RH-Wk9ZkpRU-XW51V209lpsfh_X8HhDODw0kPQhCzUa0L9A6SDGIK2Z4CPfTVw==&p=2&fvj=0&vjs=3
310,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu00Fd2fvcBtvqBA8Mcd7RYy4amaukqmn82febSxrikfSv6SM27-KLS3DuinZFP-JceSegTMBevWy72_QfFUaMrSaxPY3tRr5K2I2FNuyYEs6cQ0qDwew9xFELoTnFBjkcWsiM4qiG9UakRwFQW7En8Y_QyK5mJ3BigaePPNEa2HoHLhp2WZHv0k1ZVZsLucXE0tO2nag4Txipm9VVhQTTjlXQQfaaMgh2nauVOaaaVVe6k1tvjtU9R3T3EFOn-Kw6OSvWM8gP5xTgr9oamVZOLqMBD8EOU8lRkg==&p=4&fvj=1&vjs=3
324,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu0x4qI6wADvaeFKvqm4YbWGg5_rzBnmpmOhMe-aoPiqEUZ54uzlQl0Waq1jG_sAibVmOoAgCMOAJY1HTJhpdw5qzeD--U7kx46rgSEnXn9kWCgPaI9eZLABfiemZ-oGxJsqk6gSCGR5qwb-q2UD62AphJEYj42GQTwQoYE-qhP02AQPVcbqBcopkVLY8KI2LNj10_z69c8YE6vos-hnzCSNF9hohimKLt6TFudavHE4P7HOHO5_Sz1f1F55hVTjzp0XFpUljWCM1UnOFn9F-E0H2XZyJO0ykGMA==&p=3&fvj=1&vjs=3
325,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvcP8CjcoHM53GtcLuyD2TKqlDzYTFdbAT6oDlhxCBtcpIJxRs2ap8GUMaF55OOT1GSSSeDjedv572L1iZzLKUbtLkMUhyeUwGZx0yRlUy-rEG-N398pI9P5u0kJLIIsiZBLAgMTAtNutufUuIeje77TjcpbqRpidbxex24ISo3IUqJDLeIKKP9lOFxs00-ABb6LYGeuyXYE64knQOSgCQN8FTX_7eOo3QRbO1l3YgIpVbsYnWjMM5eQVALCLmhDJVoGYJssuint5OLLzEAxmJaugX9ZWsZyQ3p3kw_MONFyblmm3rdaTWdni1-hYDGDyD2fNcNze4TuxqtZHOC_-c8jdcWbzaqNKHYwwDOBBKlV4AquAMNwGMQs0uDDjgJuq8IjBcd4UokfiPXJIJ4kZbbfOVBJO8ZFn6DMUWoSQISxtzK4Tyk77TY6QtaSaUaOyzMWnU4ZAMF3jmt_neU4FESk4IYyWJ1k0dYjPwoS2w-VgiK3hPv8kaVLsFnokXtQKRD_j8oe5pU0afz3DvB6HaaJg==&p=4&fvj=0&vjs=3
338,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvc_EDKufLJUAoWRLWfHLhOlLJzq6OyHHBM8G2KBef9B-NXHnXZUrwGTq9Ilf4nkLd0fHX_etpOtsPKioj2mR3sVNDSu_y_hBeSv-ZM1HMPv16c3qV8vdBFBt8Cms2IvTg5SR7jVoEZjPo2EaVh9ti_iz30DRLUfvWD_qbwtEKqz5UTXy3u671_z0vDQHywNdOXueE1EHjj2kVPElntA1PJ2AOKJ7umOX81uhRF_g_JQlgd1A87uNgQSqaFHOkfoG2rgO1MBqKFRmrDOWRE741yd3kj0sghxRNmpJMRoQr_6l7M9FmwXDLBZ4Yrl4HL7UInM4XYMBwxZC3mgy6N2vGVjSqsmT6C5URgfIMTa4LKbthKrrizArj9i81u6VejjXm6j8CsWTKCpeO5EPGWcFxZHwLAQtyw_yiIiuBDPp9kbsfPCVIJ89nC_PNck6escKcF6OSWu5aOoZh82VoTIEP5iZ4tfojR_2j7nYsOhe_feivk3ApY64U9UKQ3aJL8BGDBjp4OPM6YIfaM__skK8_ERg==&p=2&fvj=0&vjs=3
341,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu0x4qI6wADvaefNnhm3C-pduC2ZqiJsF7Hxc2cTfBnX1nx407Zfufe-FXdQsvneAnEqLKwv__CvJ1q5iCO7upvpucs4ftIapr3vcjX8fOKT71y8UxDstuCARbjhFYADRsaBCAdkcX9knVtQJbdFBJdIVVmBDsZIWc-zA67SgGVOA6gwm1quTZh-FOY-jPEGFmxmdaRscuRvmcyymvyY4dj_ipfyorNv40K-cVs3E_tB-Ld8wiSuRY0aKAUSCebIy-wMXNt25_y09G6NcZhOWULZsnZ4MaaO1FJg==&p=5&fvj=1&vjs=3
353,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvc0q_XYPwYHdCsnrB-tvcEd_bOISgh37CMw-bhhsWv-JlsUhyeAMOvlfNXFCIuoQ2EHjS1YfQ63kevwRubmJaDonejTjEo1lfBAluFLlUxwu623vcUNWPSgDfuJwKYYMIRSr-gwmMpVE5m4Xvk-PvY7ZBpIpWu4LYb5KQEe1_F2vRG20u2CqPa_gSUb3rTi4VsotAgfmwPVWWrJcRmn7LdGqV4mSCftlD1RM2Oaw2Yxlpynqldts9TfIKuEOMsH-Z9aZ666lKmhYVdvQnriTUwzkzI9HjHichu6eLKZXWSaf3gvDDQ_u4NyabQTp-6tz0vV_g3YHxdCos15vrldpbIVRYHsjA4LRFn1feXm-DFmLCbcmUF1T96_HV7-ZifV4kfVYBp6_M5ZJMl7TzqTJixW9Tjn7zMhrTVZEe145QjU_1kyoSfKJ370hPZY8fOsMMuQpOZ9jjsQt5GqixUOstiZ3v1vnWmzhkE2TffL3j2kjQj3sS4MoXDPdrvYXdoFp6S1Jf-6sKvSa4TQo2XpH_7Qw==&p=2&fvj=0&vjs=3
354,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu0x4qI6wADvaeu9TQoykdjEmVVpQZoEErIw99tS4p8YTydwABVIrdEpn8DvPAy2qJoutHQUDeKENXolPJYC1vbuZ2PVJ4RrEpquBrXFEx0p5dKbjYPQGUzariOY7x3AY8M9L7WiJ-S0no_-X7EYYTtTrpYNwhrZV-Q17Irz-ckZ00wfpRNAxlMKzmQ5uJx09SCPWuBePDO2ekRWojjX6TZfe2u2Oq-0kSKhYxfwAkjEwTxhr8m6sFeaVftRukC_YvoC2jG0pfrdRhksU0SJK2mvdjYkZbb-_MgA==&p=3&fvj=1&vjs=3
368,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu09mtHEqK80v3ddfT9rURJeS5Tk6oDEfY9hShiAmCgzp9_xKavMlwESFmxIyXITPYReIvAl-fTPZrAo-yD50aBRWvolImGjLBnAh0KiOru7fsdrwdK5ptcLzAuvogyrjpUZZ0MpgvDsKcQxBA7cZW-0CmLCWx-ELkewvbeT3zvdFozaxNmdRy2zFJV2ME_QX7XFY9eNaeK7W0V-tp80tr8N-TnoxYnhrtX4OoX-aBKta29LiuiCeBc_xpALD4fs3SKE_Hd4ASuUjOF1rl3JYrjGqyHqjhXFLArw==&p=2&fvj=1&vjs=3
369,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvc2ckRUTmhKNGqOkdR4FXZoD1cpV66N0tIwYvyd20_7un0MdRYzyvKtZKTiQRLxSV65lKkNGjsnh8BzO0lauOxgPJb0fXE7Tyu5TzH00u8NMSkJmylh02rkk-hgs-wGB5NC83qRMjTktlOCTBJfTlych-nu0TZpFCndXW2fObQKcfATVZuSmj40jBTR4l2QCXhEivbdyGA_cM0uFfkrHzc9jdU9Jn3cDlqBfFLGfhy6JZT8HV7sklCNLqrvxV1vw3Ktio2mBOTFDKeHcDyKm5hGt55mkU2DWaZKGYZxTiDNHZJV9jRoJVIpnIZ6KCp7wbMlL_D7_dtPt78rJPzpfTeqJoe7YIGx7kBcG0yHWmyYOmkcrVXFleVnirg8c-RxZnXAqeDWmadPUpZrty1dusIEnpXZRJBrEUL6qLz91kMeNUiCaRNGJYDMiCGxPNQPdQRTaShe2udbwoyhIn8MVAvdaeRfc_6BfxqcSDk45vo4LVeaAqKYoTPSQxkCqaXBJ8yNF_-RxHxXknBWMsdczGNhA==&p=3&fvj=0&vjs=3
383,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvcOKVxycjTAH0A_93UicchmYchlcuaeZFiWafiRpTgZglo9Q03zCZVaBDMHLjglZ-1XPFNm0nLXy2HR1F5QMwc09wHUg7R5_6nqpNiwUPL4r-PpnzKLdRLD03gPO1QkFMk4RiK5wryvS_ii0fXs72SdM5FdXvCNWC2V2lKknKe4j8pPAnQOfs4uxFt6tQBcimXYFe75WwsIKGkLM5Q39dbAIETLIhVn57LsiSu6-c5JIqJtJ0XUGfhGaPL8_gcEjmLDBGRRq90tWssFvadmy3Ds0SqaKits_M_XxYplawszDxTVuR4mSF7-ytSODEmF3hV_AIkVSRmpgipPNxJZ3WNv9sR9cVQhaapEVjk05a-aNBcu5IUZad0vWVcfn1urkq9NMCEcWbTzVithms6Wb3ONBD44kXuP_1OAbwGYObFvQSEtZq1-9OCWmA5PMkbjznzeplesQI2FSp7tVkZfiYRXCFzAgTlbNEJT8S9uGZRQnbo6duoicO14DKTnPoOrfO8txEoSmAqh-Z2IeBAoGRopg==&p=2&fvj=0&vjs=3
386,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu09mtHEqK80v372o_HeURecuzU0LFUIkIHC7pqiP-Qld4KnLgws87lB56pPDovQDp4R-SA6EInOF9EN42c9lutOZDnJ12_ysHnpD4Kb8sirUxI4vWJXcw7schSE8cGq9GyhLjDmptgKbOIXr2CqJA1x62_juJ8pQj4NT2-tpo63bslLvWIbhuYwL2ZCJIja2DLzdFMEj1Q5F2cuuAEhVuVp60MOiti9LJMgDmaq1RyLrczUd6CiGKAxHRDK18c_b5IA4pqsRMKpXwlPO5EdQZaxcfnPshJtqS7w==&p=5&fvj=1&vjs=3
398,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvcadBKV_oqBSH8-hKyZuq94UYaE8P8OPidZj33cbjwBWVtCOQvSg0s_6DWW2Un6zekPr6CVN0QipipKIgsRipP9cDR2HDu4DRxnOqmqzwyoHhuSs5aRUOp7xdBQTZlYAn9oNz_LK9Y4LUICvufcM13uTvgxfRPnyo4DcgFO8zws3pYBDWm0WQNMvU_e6Ac7YxF3szhHJ9WDr5bPdwZuLmf6Vy6umP0vu7Ip0HwDw_Bkq9o2MYmn8eNq2LdlrbBMeLTVcSOTO-oLygguO5Sy4ccMqtt7sNPM1L4VFha4_wm0D33x4xSMoFBC8tLQxVPMLqOsh5_NoimHmDEg3H_JyZthYrvSTMiwaMSOSMzY5xvrifV46I-5joMZa1IbIteuqSztyrwaU-eaqpGy1B7vPoxxqWXca4QDwVLnKyqQrWkRE75-yIJkhJ0zMAGBsrBjKST_h1CdzAcrIbD9fJ76hYmsBEiuGX5jfHReyzzhVaUtUcapHHSaXtNRL9N6ZyFXs5abX_YJ5NJd6pDAQK2eq6K-w==&p=2&fvj=0&vjs=3
401,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu07YaqIsdIxXZObFpYOuT3g85xIlYE8OdPYuimZkH04UFl8qsG7JxN-I23gGI5tWL91LryRqpe1tRIjXf51WB3urtwMe8BbBr2hErTBHyonVpzrY_ouhC_2d2N9XbEtQGw-jMGcBnNz27jrsW9OSGS7k2NIeFRhdx0XrZ2UjwrPhTXQKc5rodVj-LTjysSery4gZi3pFnl0ebLFoj0XF0nJ9rMekksSyhVcbeyoGDKl5-C9swYZDhvJbSUVmraJmzlEGfd-77tMbKnZ8u4QqYW-C4mU5gFnmxLQ==&p=5&fvj=1&vjs=3
413,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvcwsQ-hBoL1xFmuRBZlIfJnVRzPmkHxXHtlkDl51a1ozQSOnlLtCrnmmy7FRAXT9sCuv_SHc1nZDZHYDRfDV1IcgVX--jcf6HEfhnZSwjDVV_rX7-AIM1qlAVfWBBu4RQzefN8zIitEG0Ymdvr6tevoJ8mIylIH9kw7WZytUJYRTLSjqqG4k0BEacrNBM6YN4vUs1axKV0K8Do-NybbRQAjzgI9jphY9uiaI9z721IwEdFjQfoeEYdQZptd2uJh1eMsYHvfxxqFC9gzo1VoAjloL3U94iu4E7qgNd-LIfc4RanRZGjc3hadyd_6ZvOc42jUo_g4we2uVGO0noV_Q7mS7Z3nUegdqIL_BNzRU86MVKauNMAkekxtrmvb3SL484D_rybKLHOVfegOiSEh2VmXUSjPjIB4ShIwauodIMX70O9uK5KpoTOxoX48ApT1nGNIZ2IgbGjtEhGfNxvvLEu9uPvT-RhOQlIpPnGnai4AyPqsDLTZI317Vhye1Wj09QsVn4HVVu6nmo0ZvLoMebb5Q==&p=2&fvj=0&vjs=3
416,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu07YaqIsdIxXZ3RbghJjeqrRoi3PJY4h5ijhufE4Z0vODCvRpycaWXSXbvZYzmPew47ZzdmtyDdMIJUtYBHwY0YTXSyz4t8H41ZIh_QD_RlnV0tqh5k0WY_-fZnBB_D9SCOs1AOhc0LGbk-U9jBWbym-vQxZYeUAviz4xjZKaZbSPZU7lWF5G8tf9etFXa4aOq5KlzyznFmKQN_ZTZf3C36rFWypQsGy_cCXHwNLgajM5CWMeGOVu9Vw0zVu8CwW1e2MwDPehQS7RKGGAgoVT-rxBoDYewxsFgg==&p=5&fvj=1&vjs=3
442,Business Analyst,"Baton Rouge, LA",Insight Global,"This includes such tasks as assisting with preparation of highly complex specialized reports, and serving on data conversion and Quality Assurance teams.",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCsfSP4CHbOYHYr0dgtzMm7ZVpT6D0KbNXj-OmnmzNKINNNVpeurJVasmw-8BMVeKaGkbsVbBHMobDRG0sreFxuSjDNK7_17BWeIT9MSYLdoug4CvS1_mmycYdpGFVFgu049qQFkL16wcPwShG3jRZ4vhbRfr0Hq_RuI4n2rI0tIhl3Eu_Dw9FRplTnNDDL9zFLF-pkJ0KogLMwulY1w7cufRavvVcL_FAj5WlbU5P9j0MeK4W3EBQMKXDXqAJYVBJo0RpO0gOphjQyfrPpstXt5ZYgcgQN-MUsPLEQtVbEQwsQ9VfmMF6tcaP7vphP_bl4fKjtzuH-8YHPOVPOcZGMCOFgfI87aYLRygaZZop0Jig-sDCfDgQMM84Xg24JnhYni1TmOrD-GCvC5d_KyQ43nPSBrTWRo-gQ==&p=1&fvj=1&vjs=3
443,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana Area Health Enducation Center,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoZx6RZ76Kz2BC5LaLJVXH_1oYGbR7vq7wgU_JS4Ka_yE7NXZX-VTjwmkKjFY5-oMqgwwRj5oMaT5oEjEwNpl-8lXhb6qhn_BazkNalLb64oqr4jj6DLdZQqF9RrKtl_UhHjG0CwBm0K5fYy2RrR625wj3Nw-QNKM1FmQ3CxbeJ3-bZbCynmvcDjgtH9mtozEC_8Utx79QUYN5WZI6GFU8gt7F0BkGJgfY-WiX-yShDEpp81pJAIHB1Vy6GCClbnkRDhtr7oEolQhsfStQFMa3RhFBHYqjx5SBgM47AbtkOcntygzBBH8TD8oZ7S9qncnUTYvvT8w9gn5-UomZQ7pV_x3zYHGAu8891v6yRmzCnnnnZ6eTfmKkvPDBYd3Gwb_HuKenBBKa_skYiVYQCwPqMpqccoIS-a50wIAPZRpUTSxQZzGXtLJbo-3cJ5bZlS85t8kmgXKuywWAZC4XnHfUpf00TlM3dwi-MgZb3KysQuoJDYVULP7tz4WDs2l4tu14qW-3dtCx_1U9ixXLmU3I0gMZ05Vdddld7PCmjWmI9iKTaK6ZQLrdAweuiOVE581wC1HPMw4YxmLsi_jkLb8UpyzBdlcgC2Z-2l0uAXHQ3bVpk8i8vQKTZuW8nM4D4x9_MN9wJsTasii4FTny1m9pjkn0i5d52GuA-qzQUd8aqPXB_pHGPIAhpX48y3M0PP631EGTAt-UCw==&p=2&fvj=0&vjs=3
456,Technical Business Analyst,"New Orleans, LA 70112 (Central Business District area)",Southeast Louisiana AHEC,The successful candidate will report to the Health Systems Manager and be responsible for leading the analysis and documentation of program information systems…,,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CF-xQeCb0uKQSfy6kUNqMqdxNKNVh2ZZQ1Q2boThPgDQKUGoww1ffLaegxiUFiYNZHqisJDaEXlHPRoCqAgMDpEgskH96Jj9jyFTpRp_cIAkTru9Qs_QmCvNJJdVaTAbk-zfoLJUuhl-xFcz01Iw3QX7PV2GunBi8cSzHnf_nk68bFrKvhRA9cVPBd4fV6D0hfa8QcQSC_zLWyFpaQljEpDnyR0a2XXrC2ToX5gC6u-9HS47exe6b_CKmGNOP82ZZdmyBxaCNmv_3UPTPeWwEst7gGnL03mrk8hwUHUQDmRMvA4HZ6bwdAX1ODZhzX9HmPsCFvKocuba1BO1QgNJ3-O51W2oCJxLl-iqDLHXYcGG7MCzOx4FcD1eKUkewt_EFkSwf9hAatCBgXd2ig_DImLO8Y6uMqWKJBipaHJ4PiA--eAX6oV_KBZxrwgpL2tWMfefFG5FyLfj0oM_qD3G_3&p=0&fvj=1&vjs=3
457,Dura-Line IT Data Analytics Lead (Remote),United States,Orbia,"You must have direct experience in establishing the enterprise data architecture practice to support data governance, data quality, master data management,…",,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C811pIbpdebCkYDzShaT-MLBLNMPhL1sRRN67vUMOm0Ny8LjFdcoGs-3JI8LY51LTzUbN06h_8wwWmNBiYKo9gb8c_Y-B39n8HJRox0tN3NdT-XHIDnYXkeYku3EXCzEFV4YHX_19zVi184pHkPAcjYwMfPd1Nxy40RvMhOJ-ebefrKAOGBW5DR5r71YBF-h_Rjh8G2IiDjz1hSKzDzqCwO5x-wGHAh1TwfAu3s7R2BPO0YmojiuyFt2aYFFm_F3GHX-3NYtGslpxP7AxA_flV_jri7tKcoQxQ7DIcZFliPtW-XSUiNDbe8xP6LsLD2LNDTD_g3mcJnJtQMmEBblfeeAwMD7iNI8JHyRJbnzBvLuFQsN82YxrAkmpNuSeQCihFVBT-1Xjm81yNpe9JXtp9k-IlI_rSBzLq_he3bWO43TX-W8_tuqRtytM03qju_I8JSHS3lmP71g==&p=1&fvj=0&vjs=3
